anzahl;vorname;geschlecht
1;Äl;m
3;İbrahim;m
1;İhsan;m
1;İrfan;m
2;İsmail;m
1;İzzet;m
1;Ádám;m
1;Ílian;m
1;Łukasz;m
14;Aaron;m
1;Abd;m
1;Abdallah;m
2;Abdelhamid;m
1;Abdelilah;m
1;Abdelkader;m
1;Abdelkarim;m
2;Abderrahman;m
1;Abdullah;m
2;Abdurrahman;m
1;Abraham;m
1;Abubacarra;m
1;Achilleas;m
1;Achraf;m
1;Ada;m
16;Adam;m
1;Addin;m
4;Adel;m
2;Adem;m
1;Adhil;m
2;Adnan;m
7;Adrian;m
2;Adriano;m
1;Ahadi;m
1;Ahir;m
3;Ahmad;m
5;Ahmed;m
2;Ahmet;m
1;Ahmet-Serhat;m
1;Aiko;m
1;Aiman;m
1;Ajdin;m
1;Akarschen;m
1;Akay;m
1;Akeem;m
1;Akihiro;m
1;Akin;m
2;Akram;m
1;Alaa;m
1;Alador;m
1;Al-Amin;m
2;Alan;m
1;Alan-Batras;m
5;Albert;m
1;Alberto;m
1;Albion;m
1;Albrecht;m
2;Alec;m
1;Alejandro;m
4;Aleksandar;m
2;Aleksander;m
1;Aleksey;m
1;Alen;m
3;Alessandro;m
6;Alessio;m
1;Alessio-Romeo;m
4;Alex;m
95;Alexander;m
1;Alexandre;m
4;Alexandros;m
1;Alexej;m
2;Alexis;m
1;Alfons;m
2;Alfred;m
14;Ali;m
1;Alimović;m
1;Ali-Riza;m
1;Alis;m
1;Aljoscha;m
1;Allah;m
1;Allen;m
1;Alparslan;m
2;Alper;m
1;Alperen;m
1;Alrik;m
1;Alusine;m
2;Amadeus;m
2;Aman;m
2;Amar;m
2;Ömer;m
14;Amin;m
1;Amin-Abdelhakim;m
6;Amir;m
1;Ammahazion;m
1;Ammar-Selim;m
1;Amor;m
7;Anas;m
1;Andjelo-Momčilo;m
4;André;m
1;Andrés;m
1;Andre;m
1;Andrea;m
11;Andreas;m
1;Andreevič;m
2;Andrej;m
1;Anej;m
1;Angelino;m
2;Angelo;m
2;Angelos;m
1;Anh;m
4;Anis;m
1;Anishan;m
1;Anju;m
1;Anno;m
1;Anouar;m
2;Anselm;m
1;Anthony-Atanasije;m
1;Anto;m
1;Antoine;m
30;Anton;m
1;Antoni-Jan;m
3;Antonio;m
4;Antonios;m
2;Antony;m
1;Apollon;m
1;Aragon;m
1;Aras;m
9;Arda;m
1;Arda-Jiyan;m
1;Ardalan;m
1;Ardi;m
1;Ardian;m
1;Ardit;m
1;Ari;m
5;Arian;m
1;Ariel;m
1;Arif;m
1;Arigon;m
1;Arijan;m
1;Aris;m
1;Aristotelis;m
1;Arkadius;m
1;Arlind;m
1;Armaan;m
1;Armando;m
1;Armin;m
2;Arne;m
2;Arno;m
1;Arnold;m
1;Aro;m
1;Aron;m
2;Arslan;m
1;Art;m
12;Arthur;m
1;Artiom;m
2;Artjom;m
1;Artur;m
1;Arturo;m
1;Arun;m
1;Arwed;m
2;Arwin;m
1;Asante;m
1;Assen;m
1;Assi;m
1;Atabey;m
1;Atakan;m
1;Athanasios;m
1;Atilla;m
1;Atlas;m
5;August;m
3;Augustin;m
1;Aurel;m
1;Aurelius;m
1;Avanes;m
1;Avid;m
1;Axel;m
1;Ayaan;m
1;Ayden;m
12;Ayman;m
1;Aymen;m
7;Ayoub;m
1;Aytan;m
1;Azam;m
1;Özgür;m
7;Béla;m
1;Bahati;m
1;Bakr;m
1;Balthasar;m
1;Barış;m
3;Baran;m
1;Bariş;m
1;Barlas;m
2;Bartholomäus;m
1;Bas;m
1;Basim;m
4;Bastian;m
1;Batu;m
4;Batuhan;m
1;Baxter;m
2;Bela;m
50;Ben;m
1;Ben-Baran;m
1;Benedict;m
24;Benedikt;m
22;Benjamin;m
1;Ben-Lamin;m
1;Ben-Luca;m
4;Bennet;m
5;Bennett;m
1;Bennit;m
2;Benno;m
1;Bent;m
1;Ben-Tiago;m
1;Benyamin;m
1;Bera;m
1;Berat;m
1;Beren;m
1;Berkay;m
1;Berke;m
1;Berken;m
1;Berksan;m
1;Bernardo;m
2;Bernd;m
7;Bernhard;m
1;Besfort;m
1;Biagio;m
1;Biessan-Yannis;m
13;Bilal;m
1;Billal;m
1;Binjamin-Amin;m
1;Birchan;m
1;Björn;m
3;Bleron;m
1;Bo;m
1;Boban;m
1;Bond;m
1;Boris;m
2;Borisovič;m
1;Bosse;m
1;Brandon;m
1;Branko;m
2;Brian;m
1;Brix;m
1;Brooklyn;m
11;Bruno;m
1;Bryan;m
2;Cédric;m
1;Cüneyt;m
1;Caius;m
1;Calisto;m
1;Calvin;m
1;Cameron;m
1;Campbell;m
12;Can;m
1;Can-Carlos;m
2;Can-Luca;m
20;Carl;m
4;Carlo;m
5;Carlos;m
1;Carmine;m
1;Carolus;m
4;Carsten;m
1;Casey;m
1;Casimir;m
12;Caspar;m
2;Casper;m
1;Cassidy;m
5;Cedric;m
3;Cem;m
1;Cemal;m
4;Chahid;m
1;Chahin;m
1;Charaf;m
1;Charbel;m
1;Charles;m
1;Charlie;m
1;Cheikh;m
1;Cheng;m
1;Chengez;m
1;Cherno;m
1;Chihab;m
1;Chi-Kien;m
1;Chizoba;m
1;Chris;m
26;Christian;m
1;Christof;m
1;Christofer;m
15;Christoph;m
9;Christopher;m
1;Chukwugozie;m
1;Cihan;m
1;Claudius;m
1;Claus;m
11;Clemens;m
1;Clinton;m
4;Colin;m
4;Collin;m
2;Conner;m
3;Connor;m
3;Conrad;m
1;Constans;m
14;Constantin;m
2;Cornelius;m
1;Cosimo;m
1;Crispin;m
1;Cristiano;m
1;Cuong;m
1;Daştan;m
1;Daly;m
4;Damian;m
1;Damian-Maximilian;m
1;Damien;m
1;Damon;m
26;Daniel;m
1;Daniele;m
1;Daniel-Thomas;m
1;Daniil;m
1;Danijel;m
3;Danny;m
2;Dante;m
1;Danylo;m
1;Darian;m
1;Darin;m
1;Dario;m
2;Darius;m
1;Dariusz;m
1;Darko;m
60;David;m
1;David-Alexander;m
2;Davide;m
1;Davud;m
1;Dawid;m
1;Dawid-Karim;m
4;Dean;m
1;Dejan;m
1;Demirali-Elias;m
1;Deniel;m
6;Denis;m
4;Deniz;m
1;Deniz-Can;m
10;Dennis;m
1;Dennit;m
1;Denysovič;m
1;Deon;m
1;Derek;m
1;Derin;m
2;Derrick;m
1;Detlef;m
1;Dev;m
1;Deven;m
1;Devid;m
2;Devin;m
1;Devin-Joel;m
1;Devran;m
1;Dhergham;m
1;Dhurim;m
1;Diaco;m
7;Diego;m
2;Dieter;m
2;Dietrich;m
2;Dimitrios;m
1;Dimitris;m
1;Dimitrov;m
1;Diogo;m
1;Dion;m
1;Dirk;m
1;Dirket;m
1;Divine;m
2;Diyar;m
1;Djani;m
1;Djan-Luca;m
1;Djuian;m
1;D'lai;m
1;Dmitri;m
2;Dmitrievič;m
1;Doğukan;m
2;Domenic;m
2;Domenik;m
3;Dominic;m
12;Dominik;m
1;Donatos;m
1;Donatus;m
3;Dorian;m
1;Dragan;m
1;Dubem;m
1;Duc;m
1;Duc-Hoang;m
2;Duncan;m
3;Dustin;m
1;Duy;m
1;Dwayne;m
1;Dylan;m
1;Dzesin;m
1;Eberhard;m
1;Ebubechukwu;m
1;Eddie;m
2;Edgar;m
2;Edin;m
1;Edis;m
1;Eduard;m
1;Eduardo;m
1;Edvin;m
7;Efe;m
1;Efe-Resul;m
1;Egbert;m
5;Ege;m
1;Ehme;m
1;Eid;m
2;Eike;m
1;Eita;m
1;Ejiofor;m
1;Ekrem-Murat;m
2;El;m
1;Eldin;m
1;Eleftherios;m
1;Eleutherios;m
1;Eli;m
2;Eliah;m
1;Elian;m
40;Elias;m
1;Elija;m
1;Elijah;m
1;Eloy;m
1;Elvedin;m
1;Elvin;m
1;Elvis;m
1;Elwin;m
1;Emánuel;m
5;Emanuel;m
1;Emanuele;m
19;Emil;m
2;Emilian;m
2;Emilio;m
1;Emilio-Cinziano;m
4;Emin;m
1;Emir-İliyas;m
2;Emirhan;m
4;Emmanuel;m
3;Emre;m
1;Emrecan;m
1;Emren;m
1;Emrullah;m
1;Eneas;m
4;Enes;m
1;Enio;m
3;Enis;m
2;Enno;m
1;Enomase;m
3;Enrico;m
1;Enrique;m
2;Ensar;m
1;Enzo;m
1;Ephraihm;m
1;Ephraim;m
1;Erasmus;m
1;Eray;m
1;Erdi;m
4;Eren;m
1;Eren-Can;m
1;Eren-Talha;m
1;Ergün;m
8;Eric;m
2;Erich;m
18;Erik;m
1;Erion;m
1;Erjon;m
1;Ernesto;m
2;Ernst;m
1;Ernst-Otto;m
1;Ersin;m
1;Esad;m
1;Esat;m
1;Esteban;m
1;Esthen;m
2;Ethan;m
2;Etienne;m
1;Eun-Bin;m
1;Evangelos;m
1;Ewald;m
1;Ewen;m
1;Eyad;m
1;Eymen;m
1;Ezana;m
1;Ezra;m
1;Félix;m
24;Fabian;m
1;Fabiano;m
1;Fabien;m
7;Fabio;m
1;Fabrizio;m
1;Fadi;m
1;Fahri;m
1;Faik;m
1;Faki;m
1;Falak;m
1;Falk;m
3;Faris;m
1;Fazli;m
2;Federico;m
1;Felice;m
1;Feliks;m
3;Felipe;m
47;Felix;m
1;Feras;m
14;Ferdinand;m
1;Fernando;m
3;Filip;m
1;Filippo;m
1;Finlay;m
2;Finley;m
24;Finn;m
1;Finnegan;m
1;Finn-Lukas;m
1;Fips;m
1;Flemming;m
1;Florent;m
1;Florentin;m
24;Florian;m
1;Florim;m
1;Florin;m
1;Floyd;m
1;Fotis;m
1;Frédéric;m
1;François;m
1;Francesco;m
2;Francis;m
1;Francisco;m
1;Franciscus;m
1;Franck;m
1;Franjo;m
8;Frank;m
1;Fransisco;m
11;Franz;m
2;Franziskus;m
1;Freddy;m
3;Frederic;m
4;Frederick;m
12;Frederik;m
1;Frerik;m
1;Fridolin;m
1;Friedemann;m
1;Friederich;m
1;Friedhelm;m
19;Friedrich;m
1;Friesemann;m
5;Fritz;m
1;Fryderyk;m
16;Fynn;m
1;Gökdeniz;m
1;Götz;m
5;Günter;m
1;Günther;m
22;Gabriel;m
1;Gavin;m
4;geborener;m
1;Gehad;m
1;Gene;m
8;Georg;m
1;George;m
1;Georgiev;m
4;Georgios;m
1;Gerard;m
2;Gerd;m
1;Gereon;m
3;Gerhard;m
1;Gernot;m
2;Gert;m
1;Ghislain;m
2;Gianluca;m
1;Gian-Luca;m
1;Gian-Lucca;m
1;Gianni;m
1;Gianni-Luigi;m
1;Ginjiro;m
1;Gino-Luigi;m
1;Gioia;m
1;Giorgios;m
1;Giovanni;m
1;Giulian;m
3;Giuliano;m
1;Giulien;m
3;Giuseppe;m
1;Gjon;m
1;Glenn;m
1;Gonzales;m
1;Goran;m
1;Gordon;m
1;Gottfried;m
1;Grégory;m
3;Gregor;m
1;Grygoriyevič;m
1;Guliano;m
1;Gunter;m
1;Gurjot;m
1;Gurvir;m
6;Gustav;m
1;Gustavo-Bone;m
1;Gyu;m
1;Hüseyin;m
1;Hüssien;m
1;Habib;m
1;Hacer;m
1;Haddon;m
1;Hagen;m
1;Hakan;m
1;Hakan-Ali;m
1;Haki;m
1;Hakki;m
2;Hakon;m
1;Haktan;m
1;Halil-Ibrahim;m
1;Halit;m
1;Hamdy;m
1;Hamed;m
1;Hamid;m
3;Hamza;m
1;Han;m
1;Hannah;m
5;Hannes;m
2;Hanno;m
1;Hanry;m
8;Hans;m
1;Hans-Günther;m
1;Hans-Uwe;m
1;Hanul;m
1;Hanwen;m
1;Haradin;m
1;Hardy;m
1;Harry;m
3;Harun;m
1;Haruto;m
4;Hasan;m
3;Hassan;m
1;Hauke;m
1;Hayate;m
1;Haydar;m
1;Haytam;m
8;Heinrich;m
1;Heinz;m
5;Helmut;m
1;Hem;m
1;Hendricus;m
6;Hendrik;m
1;Henk;m
1;Henner;m
5;Henning;m
20;Henri;m
11;Henrik;m
19;Henry;m
4;Herbert;m
6;Hermann;m
1;Herrman;m
1;Hiba;m
1;Hicham;m
1;Hieu;m
1;Hiroya;m
1;Hiroyuki;m
1;Hoang;m
1;Hong;m
2;Horst;m
1;Houdaifa;m
1;Houssam;m
2;Hubert;m
2;Hubertus;m
7;Hugo;m
1;Husien;m
1;Hussein;m
1;Iaen;m
6;Ian;m
1;Iannis;m
1;Iason;m
7;Ibrahim;m
1;Ilič;m
9;Ilias;m
1;Ilijas;m
3;Ilja;m
6;Ilyas;m
1;Imad;m
1;Imanol;m
1;Imanuel;m
1;Immo;m
1;Iqbal;m
2;Isa;m
2;Isaac;m
2;Isaak;m
1;Isaque;m
5;Ismail;m
1;Issey;m
