anzahl;vorname;geschlecht
1;İclâl;w
2;İman;w
1;İpek;w
1;İrem;w
1;İzem;w
1;Élise;w
1;Açelya;w
1;Aaliah-Abenaa;w
2;Aaliyah;w
1;Aamina;w
1;Aariya;w
1;Abby;w
1;Abelina;w
1;Abigeil;w
1;Ada;w
1;Adeba;w
1;Adele;w
1;Adelina;w
1;Adevye;w
1;Adora;w
1;Adora-Luna;w
2;Adriana;w
1;Advija;w
1;Adwoa;w
1;Afidi;w
1;Afrakomah;w
1;Afriba;w
1;Afriline;w
1;Afson;w
1;Agáta;w
1;Agata;w
1;Agatha;w
4;Agnes;w
1;Ahmed;w
1;Aicha;w
1;Ai-Chan;w
1;Aigüli;w
1;Ai-Linh;w
2;Aimée;w
1;Aischa;w
1;Aisenur;w
2;Aisha;w
1;Aishwini;w
1;Aisosa;w
1;Al;w
1;Alae;w
1;Alara;w
1;Alba;w
1;Alberdina;w
1;Alberta;w
2;Albina;w
1;Alea;w
1;Alejna;w
2;Aleksandra;w
1;Alekseevna;w
1;Alemsa-Amela;w
1;Alena;w
1;Alessa;w
3;Alessandra;w
3;Alessia;w
2;Alexa;w
16;Alexandra;w
1;Alexia;w
1;Alexia-Christin;w
3;Aleyna;w
1;Al-Hasan;w
1;Ali;w
1;Alia;w
2;Aliah;w
1;Alica;w
7;Alicia;w
2;Alicja;w
12;Alina;w
1;Alina-Marie;w
1;Alira;w
2;Alisa;w
1;Alisah;w
2;Alisha;w
1;Alisha-Rose;w
2;Alissa;w
1;Aliya;w
1;Aliyah;w
1;Alla-Maria;w
2;Allegra;w
1;Allison-Jade;w
1;Alma;w
1;Almira;w
1;Alona;w
1;Altina;w
1;Alva;w
1;Alwine;w
1;Alyssa;w
1;Ama;w
5;Amélie;w
1;Amadea;w
1;Amaia;w
1;Amal;w
8;Amalia;w
3;Amalie;w
1;Amani;w
2;Amara;w
2;Amber;w
3;Amela;w
1;Ameli;w
1;Amelia;w
1;Amelié-Eleyna;w
26;Amelie;w
1;Amena;w
1;Amenan;w
1;Amenata;w
1;Amenze;w
13;Amina;w
1;Amine;w
5;Amira;w
1;Amira-Umayma;w
2;Amra;w
2;Amrei;w
8;Amy;w
1;An;w
3;Ana;w
1;Anabelle;w
1;Anan;w
1;Anasstasia;w
9;Anastasia;w
2;Anastasija;w
1;Andalucia;w
1;Andjela;w
1;Andrée;w
1;Andra-Maria;w
5;Andrea;w
1;Andriana;w
1;Anelia;w
1;Anette;w
3;Angel;w
4;Angela;w
1;Angeli;w
1;Angelica;w
2;Angelika;w
2;Angeliki;w
3;Angelina;w
1;Angelique;w
2;Anh;w
1;Anife;w
1;Anik;w
1;Anike;w
1;Aniko;w
1;Anila;w
2;Anisa;w
4;Anissa;w
2;Anita;w
4;Anja;w
1;Anjely-Simone;w
2;Anke;w
1;Ankea;w
1;Ann;w
54;Anna;w
2;Annabelle;w
1;Anna-Christine;w
1;Anna-Helene;w
1;Anna-Larissa;w
3;Annalena;w
5;Anna-Lena;w
1;Annalotta;w
6;Anna-Maria;w
2;Anna-Marie;w
2;Anna-Sophie;w
1;Ann-Carin;w
11;Anne;w
1;Anneke;w
1;Annemarie;w
1;Annette;w
2;Annica;w
1;Annik;w
13;Annika;w
1;Anniki;w
1;Ann-Kathrin;w
1;Ann-Sophie;w
1;Anny;w
2;Anouk;w
1;Anstasia-Estelle;w
1;Antje;w
1;Antoinette;w
24;Antonia;w
3;Antonie;w
1;Anuk;w
1;Anusha;w
1;Anushri;w
1;Anzala;w
2;Aoi;w
1;Aparna;w
1;Apasara;w
1;Apolline;w
1;Arabella;w
1;Arbenita;w
1;Arbnora;w
1;Ariana;w
1;Ariane;w
1;Arife;w
2;Arina;w
1;Arisa;w
1;Arlinda;w
1;Armanda;w
1;Armita;w
1;Arnisa;w
1;Arta;w
1;Arushi;w
1;Asantenwaah;w
3;Ashley;w
1;Ashley-Jaden;w
1;Asma;w
1;Asu;w
1;Asuka;w
2;Athina;w
1;Aurélie;w
10;Aurelia;w
1;Auri;w
1;Aurora;w
1;Auyan;w
2;Ava;w
1;Awa;w
1;Awaschin;w
1;Aya;w
1;Ayasa;w
2;Ayşe;w
1;Ayinke;w
2;Ayla;w
1;Ayleen;w
3;Aylin;w
1;Ayten;w
1;Şafak;w
1;Şewin-İdil;w
1;Şifa;w
1;Azize;w
10;Azra;w
1;Azra-Nur;w
1;Şuâra;w
1;Azumi;w
1;Şura;w
1;Bagaudinovna;w
1;Bajramsha;w
1;Bana;w
1;Bao;w
6;Barbara;w
1;Basma;w
2;Batoul;w
2;Beate;w
3;Beatrice;w
1;Belana;w
1;Bele;w
1;Bell;w
1;Bella;w
1;Belle;w
2;Benita;w
1;Berenike;w
1;Berivan;w
1;Berjana;w
2;Berra;w
1;Berra-Ceylin;w
1;Besiana;w
2;Betül;w
1;Bettina;w
4;Beyza;w
1;Bianca;w
1;Bibi;w
1;Bieona;w
1;Bilge;w
1;Binta;w
1;Birgit;w
1;Birgitta;w
1;Birsen;w
2;Blanca;w
1;Blanche;w
1;Blerona;w
1;Blessen;w
1;Blinera;w
1;Bora;w
1;Bouschra;w
1;Briana;w
1;Brigitte;w
2;Britt;w
1;Bryanna;w
1;Busra;w
1;Cäcilia;w
1;Célia;w
1;Céline;w
1;Caitlin;w
1;Calliope;w
1;Camila;w
3;Camille;w
1;Canan;w
1;Caprice;w
2;Cara;w
2;Carina;w
25;Carla;w
1;Carli;w
13;Carlotta;w
4;Carmen;w
1;Carola;w
8;Carolin;w
7;Carolina;w
7;Caroline;w
2;Cassandra;w
2;Catalina;w
1;Catarina;w
1;Catharina;w
2;Catherine;w
1;Cathrine;w
1;Cathy;w
1;Ceci;w
3;Cecile;w
2;Cecilia;w
1;Celenei;w
1;Celeste;w
1;Celia;w
13;Celina;w
10;Celine;w
1;Celine-Jolie;w
1;Cemre;w
2;Ceren;w
5;Ceylin;w
1;Ceylin-Havin;w
